,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
0,236.0,291.0,537.0,5162.0,1762.0,1306.504,0.00046283007,0.055874187,0.9125602,-0.5328404,0.85547566,-0.49104565,12.0,84.0,70.0,9.0,34.5,72.0,16.5,59.5,22.0,46.0,39.0,69.0,127.32449,5586219.038982311,-2404398.8862574534,1,forest
1,244.0,287.0,548.0,5132.0,1703.0,1245.6096,0.0004439056,0.054791912,0.9092262,-0.5131053,0.8460553,-0.5016825,16.0,83.0,75.0,14.0,33.0,73.0,15.5,60.5,38.5,46.0,33.5,72.5,133.00558,5586276.027514307,-2404327.9641555017,1,forest
2,206.0,270.0,495.0,4912.0,1657.0,933.3732,0.00031787157,0.04046876,0.9194998,-0.5399628,0.8330384,-0.49550924,14.0,83.0,72.0,12.0,34.5,71.0,15.0,60.0,32.0,48.0,37.0,70.5,136.20636,5586258.272676568,-2404379.987371992,1,forest
3,274.0,316.0,620.0,5033.0,1777.0,1205.0532,0.0009431839,0.048266865,0.89674014,-0.4826867,0.83158594,-0.47812045,20.0,70.0,25.0,14.0,43.5,71.0,20.0,56.0,26.0,50.0,35.5,71.0,101.43596,5586185.262517435,-2404301.749899708,1,forest
4,189.0,245.0,417.0,4926.0,1730.0,1129.4324,0.0013519526,0.047679305,0.92609966,-0.6115509,0.8326595,-0.48016825,16.0,83.0,31.0,19.5,36.0,68.0,21.0,57.0,29.0,48.0,34.5,72.0,127.96886,5586299.602561996,-2404269.7254291577,1,forest
5,183.0,235.0,432.0,4048.0,1493.0,1149.239,0.0011397302,0.06405316,0.91349566,-0.5511688,0.72197104,-0.46110815,12.0,81.0,13.0,10.5,46.0,48.0,18.0,58.5,22.0,43.0,38.5,70.0,107.0552,5586154.592720203,-2404383.8563090554,1,forest
6,232.0,279.0,503.0,5329.0,1816.0,1179.9436,0.0004784763,0.051782884,0.91656184,-0.5661923,0.8710736,-0.4916725,18.0,79.0,11.0,18.5,47.0,54.0,27.0,61.5,15.5,39.0,38.5,47.0,98.96865,5586106.351949484,-2404424.831793622,1,forest
7,256.0,288.0,566.0,5204.0,1737.0,1094.8877,0.0006453097,0.050241858,0.9062271,-0.5084672,0.8484225,-0.49949571,12.0,83.0,72.0,13.0,32.5,71.0,17.0,58.5,51.5,43.0,35.5,70.0,149.75552,5586350.431638855,-2404363.9839181704,1,forest
8,287.0,331.0,640.0,4919.0,1710.0,999.0368,0.0009558201,0.04486451,0.88974255,-0.45531914,0.8178833,-0.48408508,16.0,76.0,67.0,21.0,41.0,64.0,20.0,60.5,21.0,37.0,35.5,35.0,162.77237,5586421.730992905,-2404277.2985521145,1,forest
9,282.0,326.0,578.0,5043.0,1772.0,854.76404,0.00054115057,0.038829558,0.89408445,-0.50808513,0.83292514,-0.4799706,16.0,72.0,64.0,13.0,38.5,64.5,17.0,59.5,22.0,27.0,36.0,32.0,166.66989,5586464.765331484,-2404247.1524746343,1,forest
10,288.0,334.0,587.0,5296.0,1861.0,844.5342,0.0006301999,0.04118355,0.8968481,-0.5204249,0.8623184,-0.4799497,14.0,78.0,53.0,17.0,42.5,64.0,17.0,57.5,24.0,23.5,36.0,52.0,169.99367,5586500.377601473,-2404216.7868512277,1,forest
11,323.0,374.0,619.0,5454.0,1929.0,958.85706,0.0006186366,0.04944478,0.8881773,-0.51412874,0.87937903,-0.4774482,14.0,74.0,65.0,13.0,37.0,65.0,20.5,61.0,25.0,39.0,35.0,27.5,175.60526,5586491.084335208,-2404258.336530324,1,forest
12,218.0,274.0,508.0,5283.0,1666.0,1137.0286,0.0014566779,0.047863558,0.92074174,-0.53265876,0.8711131,-0.52050656,16.0,76.0,67.0,21.0,41.0,64.0,20.0,60.5,21.0,37.0,35.5,35.0,157.46193,5586407.943223526,-2404294.898144522,1,forest
13,297.0,344.0,604.0,6329.0,2081.0,918.9918,0.0007452965,0.042404607,0.9103532,-0.5500932,0.97096133,-0.50511295,15.0,79.0,45.0,14.5,43.0,59.5,20.0,57.5,23.0,23.0,35.5,35.0,179.91667,5586529.193714391,-2404233.4497992652,1,forest
14,247.0,301.0,539.0,5358.0,1863.0,1047.7966,0.000536263,0.042846564,0.91186446,-0.5512073,0.8762215,-0.484005,15.0,83.0,64.0,9.0,40.0,65.0,15.5,58.0,24.0,37.5,34.5,70.0,141.27945,5586244.405417478,-2404465.713130986,1,forest
15,244.0,287.0,548.0,5132.0,1703.0,1245.6096,0.0004439056,0.054791912,0.9092262,-0.5131053,0.8460553,-0.5016825,16.0,83.0,75.0,14.0,33.0,73.0,15.5,60.5,38.5,46.0,33.5,72.5,133.00558,5586294.301112127,-2404319.949107025,1,forest
16,231.0,273.0,494.0,4960.0,1745.0,1078.1188,0.0005931854,0.05487347,0.9109998,-0.55873156,0.82683504,-0.47949293,13.0,85.0,3.0,12.0,46.0,60.0,16.0,58.5,15.0,51.0,38.5,64.0,113.819374,5586177.463460661,-2404473.473142205,1,forest
17,269.0,300.0,521.0,4666.0,1677.0,947.08594,0.0007238388,0.04886769,0.8909828,-0.5259326,0.7834997,-0.47122815,14.0,83.0,67.0,12.0,32.5,68.5,14.0,62.5,40.0,50.0,35.5,70.0,165.44357,5586336.247364746,-2404468.2570294496,1,forest
18,266.0,316.0,608.0,5111.0,1729.0,1251.3403,0.00058966875,0.04855823,0.90106004,-0.47967482,0.844842,-0.4944444,16.0,76.0,67.0,9.5,37.5,70.0,18.0,55.5,40.0,49.0,37.5,71.0,117.731895,5586211.218267322,-2404330.0930010346,1,forest
19,223.0,270.0,507.0,4639.0,1603.0,1216.7747,0.0007458031,0.062943876,0.90826815,-0.5194313,0.7912844,-0.4863826,12.0,86.0,8.0,12.0,48.5,56.0,19.0,59.5,20.0,49.0,39.5,70.5,113.48681,5586172.8680831,-2404404.110187338,1,forest
20,298.0,340.0,566.0,4880.0,1764.0,1084.2612,0.0008161664,0.055552125,0.8848976,-0.5141631,0.81137556,-0.4689946,15.0,82.0,72.0,11.0,31.5,70.5,15.0,58.0,27.0,36.5,35.5,69.0,184.64934,5586337.646643815,-2404510.846294628,1,forest
21,397.0,453.0,761.0,5711.0,2033.0,1452.9337,0.0009355545,0.056389585,0.87000644,-0.45526132,0.90401816,-0.47494835,14.0,81.0,70.0,12.5,34.0,66.5,17.0,60.0,29.5,46.0,38.5,58.0,202.20775,5586480.980154339,-2404416.23195567,1,forest
22,326.0,358.0,572.0,4662.0,1709.0,1959.7303,0.00095170736,0.08924304,0.86928636,-0.4984656,0.778009,-0.46350655,15.0,81.0,65.0,6.5,32.5,70.0,15.5,56.0,24.0,28.5,33.5,66.0,196.10793,5586414.6142301615,-2404512.0247303224,1,forest
