,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
1,406.0,429.0,620.0,3780.0,1898.0,1392.6643,0.0046827793,0.089941755,0.8060201,-0.50754565,0.648921,-0.33145475,5.0,94.0,8.0,6.0,92.0,5.0,30.0,54.5,33.5,35.5,53.0,32.0,61.216213,3150296.6163753616,-1970312.820887615,1,forest
2,575.0,433.0,641.0,3040.0,2000.0,1311.8906,0.0074682534,0.092427954,0.681881,-0.5145778,0.46535775,-0.20634918,7.0,76.0,20.0,9.5,75.0,16.0,5.0,76.5,21.5,12.0,53.0,20.5,5.63678,3062523.980872135,-1972146.6896571233,2,cropland
3,193.0,175.0,346.0,3154.0,1063.0,397.0964,0.0013059378,0.03777548,0.88467276,-0.5088715,0.56944495,-0.49585015,2.0,89.0,10.0,26.0,59.0,22.0,12.0,92.0,8.0,19.0,65.0,18.0,143.82172,3078099.581384948,-1972098.995879247,1,forest
4,808.0,492.0,772.0,2756.0,2163.0,837.60864,0.0025877059,0.06215789,0.54657686,-0.47393522,0.35000718,-0.12055295,8.0,60.0,31.0,17.5,60.0,23.0,7.5,59.0,32.0,20.0,49.0,30.0,35.337605,3079515.5653078374,-1972094.1220686974,2,cropland
5,387.0,297.0,565.0,3413.0,1965.0,1016.53326,0.0017838478,0.063358836,0.79631585,-0.5533597,0.5600593,-0.2692451,5.0,76.0,18.0,19.0,60.0,18.0,4.0,74.0,21.0,7.0,73.0,17.0,10.64376,3080931.5492307297,-1972089.132216225,2,cropland
6,251.0,250.0,496.0,3987.0,1735.0,562.88727,0.0011560917,0.030849528,0.8815479,-0.5553563,0.685857,-0.39356866,6.0,89.0,5.0,11.5,62.0,38.0,11.5,84.0,6.0,15.0,51.0,8.0,472.90955,3095090.7205426884,-1972034.01183262,1,forest
7,235.0,261.0,455.0,4026.0,1675.0,845.0307,0.0006186366,0.052502546,0.88969725,-0.57277,0.7031569,-0.41238376,12.0,84.0,6.0,25.0,61.5,46.0,16.0,59.5,50.5,20.0,56.5,60.5,308.47217,3129087.2477529906,-1974694.6946446218,1,forest
8,291.0,349.0,504.0,4468.0,1515.0,964.833,0.0009711981,0.04658469,0.8777054,-0.5007429,0.76802856,-0.49356514,10.0,85.0,16.0,15.5,76.5,37.5,17.0,64.0,17.0,20.5,53.0,35.5,183.8969,3130503.1203563916,-1974686.3384966485,1,forest
9,282.0,342.0,563.0,4641.0,1623.0,1089.8682,0.0010293722,0.054237314,0.8854357,-0.48490396,0.7915093,-0.4818008,12.0,84.0,6.0,13.5,73.5,30.0,17.0,56.5,40.0,15.5,60.5,25.0,260.15564,3131910.643997981,-1973262.0126143685,1,forest
10,406.0,435.0,749.0,4421.0,1764.0,1220.9489,0.0012709498,0.06350683,0.83177954,-0.40389973,0.73835003,-0.4295877,4.0,95.0,4.0,8.0,72.0,32.0,8.5,74.5,21.0,34.0,62.0,23.0,366.2548,3134742.2778852866,-1973244.9533269787,3,grassland
11,446.0,448.0,793.0,4933.0,2147.0,1588.6597,0.0014223456,0.072298184,0.8341699,-0.4605442,0.7872482,-0.3935028,10.0,82.0,9.0,13.0,79.0,17.0,10.0,71.0,11.0,41.0,53.0,51.5,226.2016,3136158.1504886877,-1973236.2496143226,1,forest
12,348.0,363.0,535.0,4516.0,1671.0,991.8375,0.0022320747,0.055738628,0.8569079,-0.5149592,0.7506393,-0.45983517,8.0,89.0,22.0,23.0,74.0,61.0,14.0,64.0,32.0,32.0,58.0,18.0,172.5882,3137573.911772597,-1973227.4298558875,1,forest
13,599.0,510.0,812.0,3851.0,2308.0,1493.9482,0.004665494,0.08986311,0.73078656,-0.47948718,0.5969164,-0.25052768,7.0,84.0,9.0,14.0,79.0,19.0,21.0,54.0,31.5,33.5,54.0,31.0,50.7076,3143237.1795472135,-1973191.3385150174,2,cropland
15,299.0,340.0,560.0,3971.0,1811.0,917.25836,0.0006492734,0.05097575,0.8599532,-0.5276254,0.6946652,-0.37357318,12.0,87.0,31.0,17.0,74.0,19.0,15.5,52.5,39.5,22.5,52.0,38.5,443.1922,3154563.158498992,-1973114.6301179086,1,forest
17,210.0,234.0,390.0,3304.0,1126.0,393.6466,0.00088992715,0.032378368,0.8804781,-0.4854881,0.60387224,-0.49164784,4.0,91.0,8.0,16.0,69.0,13.5,4.0,88.0,8.5,44.0,85.0,8.5,133.35359,3071028.567329757,-1974954.201137749,1,forest
18,224.0,225.0,453.0,3598.0,1257.0,413.41223,0.0006415844,0.029173493,0.88278395,-0.47017542,0.6363877,-0.48218334,8.0,86.0,6.0,23.5,65.0,9.0,10.0,85.0,6.0,43.5,75.0,15.0,249.04678,3072444.7738916315,-1974949.7908929477,1,forest
19,281.0,256.0,497.0,3040.0,1231.0,556.9328,0.0010323524,0.047334682,0.8307738,-0.4247685,0.5386147,-0.42355418,5.0,83.0,14.0,21.0,64.0,14.5,3.0,82.5,13.5,14.5,59.0,20.0,404.76697,3073860.869134012,-1974945.2645900473,1,forest
20,375.0,306.0,672.0,3064.0,1593.0,436.34845,0.00092193484,0.03279779,0.7819134,-0.40662253,0.5163607,-0.3158686,5.0,82.0,16.0,6.0,70.0,18.0,9.0,82.5,11.0,37.0,63.0,19.5,96.09425,3079525.4727425203,-1974926.2309168663,1,forest
21,787.0,468.0,753.0,2508.0,2307.0,1139.8944,0.008387059,0.084909886,0.5223065,-0.5078432,0.3135933,-0.04174457,11.0,54.0,41.0,11.0,57.0,32.0,9.0,50.5,42.0,20.0,36.0,43.0,31.510603,3080941.567984901,-1974921.240383495,2,cropland
22,526.0,406.0,688.0,3213.0,1845.0,1084.5504,0.0037671924,0.07605452,0.71864134,-0.45677057,0.5041654,-0.27046263,6.0,73.0,21.0,9.0,73.0,14.5,5.0,74.0,20.0,21.5,53.0,29.5,10.401973,3082357.774546773,-1974916.1337924518,2,cropland
