,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
13,752.0,659.0,1160.0,4316.0,2628.0,1056.9393,0.0012744665,0.047043882,0.70323604,-0.38753963,0.64167655,-0.24308755,23.0,65.0,14.0,23.0,43.0,34.0,20.0,67.0,13.0,24.0,66.0,9.0,3.2028244,2378284.449606948,789277.5654906313,7,mangroves
14,1429.0,1260.0,1560.0,2915.0,2105.0,701.02686,0.0013730526,0.045267865,0.342081,-0.14870395,0.3085804,-0.16135459,35.0,55.0,16.0,51.0,40.0,21.0,39.0,55.5,6.5,35.0,50.0,20.5,3.2067428,2378194.2212320226,789334.539593355,1,forest
15,2804.0,2514.0,2704.0,3260.0,3923.0,1030.6278,0.0012174249,0.0460593,0.07519788,-0.18394451,0.10152283,0.09230127,46.0,24.0,38.0,47.5,27.0,26.0,42.0,21.0,38.0,34.0,26.0,45.0,2.9363122,2378307.7043427527,789363.1429183957,4,buildup
16,3286.0,2780.0,3057.0,3487.0,4269.0,1328.5062,0.0020114183,0.05054324,0.029676655,-0.16543816,0.04067838,0.10082519,50.0,21.0,40.0,39.0,22.0,42.0,50.0,23.5,26.0,40.5,24.0,41.0,3.0287466,2378293.5189539124,789388.7231277821,4,buildup
17,3249.0,2905.0,3101.0,3383.0,3902.0,1040.4313,0.0008442998,0.04460378,0.020205049,-0.114379555,0.030208725,0.07124228,30.0,12.0,59.0,46.5,24.0,29.0,28.0,14.0,53.5,30.0,17.0,59.0,3.3911862,2378275.147712625,789367.793865557,4,buildup
18,1737.0,1534.0,1894.0,3467.0,3342.0,586.26263,0.0014677644,0.026143009,0.33243656,-0.27654698,0.34924096,-0.018358082,53.0,36.0,32.0,38.0,35.0,28.0,51.0,35.5,21.0,39.0,38.0,37.0,2.9363122,2378293.984048627,789343.8414876772,4,buildup
19,1967.0,1665.0,1860.0,3801.0,3568.0,835.5316,0.0012658834,0.03802112,0.3179612,-0.31466466,0.34958634,-0.031618975,37.0,38.0,50.0,30.0,29.0,46.0,37.0,37.5,47.0,29.0,44.0,42.0,3.4496639,2378380.9567605406,789373.8400968662,4,buildup
21,1709.0,1430.0,1755.0,3485.0,2967.0,643.57434,0.0012513995,0.032884657,0.341933,-0.2566709,0.34117106,-0.0802852,40.0,29.0,25.0,48.0,32.0,19.0,45.0,27.5,25.0,40.0,37.0,26.0,3.4729939,2378246.0792928673,789376.3981178051,4,buildup
22,3043.0,2459.0,2836.0,4289.0,4715.0,1182.736,0.0025917888,0.03448139,0.16993998,-0.24884121,0.22085147,0.047312308,12.0,15.0,81.0,34.0,19.0,57.0,27.0,15.5,76.0,13.5,14.0,81.0,3.7077618,2378370.2595820706,789415.4660739587,4,buildup
23,546.0,483.0,737.0,3532.0,2043.0,457.13937,0.000608176,0.028233841,0.73222166,-0.4697842,0.56615216,-0.26708516,39.0,52.0,11.0,41.5,46.0,18.0,39.0,53.0,15.0,30.0,52.0,13.0,4.1485744,2378162.82733868,789383.1419911889,1,forest
24,1172.0,913.0,1250.0,3608.0,2484.0,375.85663,0.00059503317,0.018026054,0.50962347,-0.3304767,0.44154426,-0.18450426,33.0,54.0,13.0,38.0,46.0,17.5,36.0,59.0,14.5,31.0,56.0,15.0,3.2067428,2378201.4302001223,789370.5844338537,1,forest
25,2201.0,1808.0,2166.0,3346.0,3281.0,1331.3293,0.0031874776,0.05285524,0.20641787,-0.20469981,0.2203279,-0.009808368,17.0,49.0,33.0,45.5,28.0,32.0,25.5,53.5,21.5,23.5,44.0,31.0,0.87613124,2378137.9447713727,789481.0444289303,4,buildup
26,2064.0,1707.0,1956.0,3512.0,3533.0,960.5963,0.00073102117,0.044733834,0.25968435,-0.28730187,0.27647308,0.0029808243,44.0,28.0,30.0,43.0,31.0,25.0,55.0,22.0,23.0,35.0,38.0,35.0,2.4661381,2378225.6151253623,789443.3717569255,4,buildup
27,2974.0,2772.0,2958.0,3850.0,4246.0,1395.187,0.0023959577,0.04696587,0.12837045,-0.17878957,0.2008437,0.04891306,53.0,37.0,23.0,57.5,28.0,21.0,53.0,39.5,15.0,41.5,37.0,26.5,3.3847618,2378199.802368614,789454.7665774698,4,buildup
28,3148.0,2917.0,3130.0,3750.0,4144.0,1061.6656,0.0016103387,0.042858332,0.087271675,-0.13940063,0.13986343,0.04991134,28.0,27.0,50.0,53.5,22.0,28.0,34.5,28.5,41.0,32.5,28.0,47.0,3.070021,2378283.286870157,789474.0680081885,4,buildup
29,3347.0,2881.0,3224.0,3714.0,4337.0,934.1747,0.000859797,0.036272593,0.051975656,-0.14720275,0.07527589,0.07738169,33.0,18.0,52.0,40.5,21.0,36.0,37.0,16.0,48.0,31.0,19.0,52.0,2.5737424,2378357.702024733,789436.8604308998,4,buildup
30,1805.0,1535.0,1805.0,3586.0,3560.0,1188.4254,0.004273355,0.05303665,0.33036542,-0.32712024,0.34506142,-0.0036383774,46.0,28.0,38.0,43.0,27.0,34.0,44.0,28.5,38.0,45.0,34.0,38.0,3.0287466,2378333.7496468546,789394.0717170173,4,buildup
31,2201.0,1972.0,2270.0,3894.0,3495.0,992.61884,0.001401484,0.038349867,0.27776867,-0.21248916,0.34382614,-0.053999193,30.0,34.0,50.0,36.0,26.0,36.0,40.5,34.0,26.0,34.5,44.0,29.0,2.9615302,2378319.564258014,789504.5317120941,3,grassland
32,1252.0,961.0,1339.0,1090.0,849.0,905.6003,0.017450035,0.102385,-0.069171675,0.22394882,-0.035543475,-0.12429087,27.0,35.0,42.0,50.5,34.5,22.0,41.0,51.0,13.5,24.5,39.0,42.0,0.0,2378128.8754244056,789402.6759692653,3,grassland
33,858.0,754.0,1060.0,3131.0,1861.0,928.2656,0.0025580227,0.05087927,0.56981707,-0.27422118,0.4501347,-0.25440705,33.0,54.0,17.0,40.0,46.5,18.5,32.0,55.0,14.0,32.5,61.0,13.0,1.5512319,2378064.9249009406,789495.927459846,3,grassland
34,1976.0,1727.0,1966.0,3310.0,3498.0,750.642,0.0013454556,0.03406727,0.25236472,-0.28038064,0.27305847,0.027614558,40.0,33.0,26.0,39.0,27.0,33.0,41.0,34.0,27.5,45.0,39.0,20.0,4.1957617,2377673.082602618,789812.6569615185,4,buildup
35,1623.0,1501.0,1701.0,3773.0,3551.0,806.5895,0.0012146235,0.03699424,0.39844325,-0.35224676,0.4386501,-0.03031129,46.0,43.0,13.0,40.0,38.0,20.0,48.0,43.5,14.0,44.0,49.0,19.5,2.4668124,2377771.2175877187,789865.212664439,4,buildup
36,2225.0,1823.0,2194.0,3607.0,3398.0,1229.3356,0.0018491149,0.056493122,0.23696849,-0.21530758,0.26007757,-0.029835846,49.0,27.0,28.0,47.0,24.5,36.0,49.0,28.0,22.5,51.0,28.0,33.0,3.170312,2377780.519482039,789718.7078288638,4,buildup
37,4271.0,4187.0,4557.0,4565.0,4027.0,1733.7198,0.0037083328,0.048177663,0.033272963,0.061742783,0.08363197,-0.06261637,21.0,47.0,50.0,36.0,45.0,39.5,37.0,39.5,45.0,22.0,43.0,43.0,2.7052994,2377810.28554387,789782.8908996872,4,buildup
38,1920.0,1490.0,1742.0,3655.0,3177.0,1000.51215,0.0019048452,0.047199,0.31121075,-0.29172596,0.30982146,-0.06996488,48.0,32.0,31.0,47.5,29.0,20.0,45.0,37.0,18.0,45.0,36.0,31.0,4.902946,2377981.4403994004,789813.5871509506,4,buildup
39,3115.0,2954.0,3058.0,3634.0,3988.0,827.2627,0.0016162992,0.031501044,0.07690027,-0.13198978,0.12759362,0.04644447,28.0,23.0,49.0,35.0,25.0,43.0,30.0,23.5,39.0,33.0,28.0,40.5,1.4798751,2377823.3081959225,789875.4447481934,4,buildup
40,1293.0,1055.0,1391.0,3856.0,3361.0,890.9361,0.0020849705,0.04694088,0.49776658,-0.4145623,0.46764952,-0.06858804,36.0,48.0,17.0,38.0,42.0,19.0,43.0,42.5,18.0,31.0,56.0,19.5,3.148493,2377956.7903794455,789896.8391051344,4,buildup
