,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_pc_50,pv_pc_50,npv_pc_50,bs_med_jan_apr,pv_med_jan_apr,npv_med_jan_apr,bs_med_may_aug,pv_med_may_aug,npv_med_may_aug,bs_med_sep_dec,pv_med_sep_dec,npv_med_sep_dec,dem,x,y,class_id,lulc
0,882.0,799.0,854.0,1372.0,1746.0,478.71365,0.003116399,0.052674066,0.21739128,-0.34307694,0.11479171,0.11994871,30.0,22.0,47.0,33.5,30.0,46.0,34.0,31.0,49.0,27.0,46.0,52.0,51.5,-1719668.6770441323,816896.3567708557,4,buildup
1,1044.0,869.0,989.0,2030.0,2328.0,638.7088,0.0023477077,0.046300873,0.3207547,-0.4036781,0.20931515,0.06838002,3.0,52.0,43.0,15.5,46.0,42.0,17.0,43.5,39.5,3.0,56.0,42.0,52.24949,-1719754.4444383266,816926.4082396722,4,buildup
2,883.0,779.0,846.0,1317.0,1656.0,468.24918,0.003019631,0.051567923,0.19727272,-0.323741,0.100719415,0.11402627,35.0,18.0,45.0,40.0,31.0,44.5,39.0,30.5,45.5,35.0,38.5,43.0,51.65,-1719829.6232653374,816891.4071189443,4,buildup
3,640.0,573.0,976.0,3430.0,2362.0,611.3741,0.0014386177,0.03653644,0.68550366,-0.41521868,0.53767586,-0.18439224,8.0,77.0,15.0,30.5,60.0,34.0,11.0,73.0,15.0,10.0,78.5,15.0,50.478775,-1719974.3336835299,817028.5833721646,4,buildup
4,822.0,723.0,766.0,1286.0,1760.0,385.08234,0.0019818842,0.040214077,0.22011387,-0.39350748,0.107452184,0.15561391,38.0,16.0,45.0,37.0,30.0,45.5,43.0,25.5,47.0,37.0,34.5,49.0,52.0,-1720164.9278928542,816918.2766639298,4,buildup
5,978.0,745.0,1005.0,2739.0,2708.0,720.6572,0.0019038022,0.047904782,0.4737692,-0.45865875,0.33814663,-0.00569122,12.0,34.0,55.0,26.0,36.0,57.0,23.5,37.0,49.5,13.0,46.0,44.0,52.542442,-1721285.1983009968,816950.9797485238,4,buildup
6,2620.0,1020.0,1276.0,3188.0,3594.0,975.32056,0.0027762353,0.041980922,0.09779616,-0.4759754,0.06679839,0.05986435,39.0,9.0,52.0,39.0,28.0,33.0,37.0,30.0,55.5,44.5,33.5,41.5,50.407406,-1721541.7945791075,817151.0877492263,4,buildup
7,492.0,461.0,669.0,3586.0,2137.0,793.6934,0.0009224415,0.04909607,0.75870526,-0.52316463,0.5913382,-0.2531889,20.0,61.0,19.0,22.5,57.0,25.0,22.0,59.0,17.0,23.0,63.0,24.0,43.63342,-1720921.4810182052,817178.6645345563,4,buildup
8,1082.0,972.0,1161.0,4130.0,2527.0,1183.8665,0.004251629,0.06553928,0.58480424,-0.37039047,0.57155716,-0.24079916,11.0,57.0,33.0,27.0,61.0,7.0,27.0,63.5,12.0,14.0,53.0,35.0,39.000088,-1720973.6297115842,817213.1355381538,4,buildup
9,2183.0,2071.0,2261.0,3499.0,3115.0,968.0653,0.0013536215,0.0421721,0.2316086,-0.15885419,0.2973474,-0.058058653,15.0,42.0,39.0,25.5,44.0,50.0,30.5,45.0,38.0,16.0,46.0,39.0,50.85018,-1720838.0960516222,817120.5058196323,4,buildup
