,bs_pc_50,pv_pc_50,npv_pc_50,red,blue,green,nir08,swir16,emad,smad,bcmad,ndvi,mndwi,evi,ndbi,bs_jan_apr,pv_jan_apr,npv_jan_apr,bs_may_aug,pv_may_aug,npv_may_aug,bs_sep_dec,pv_sep_dec,npv_sep_dec,dem,class_id,lulc,geometry
13,23.0,65.0,14.0,752.0,659.0,1160.0,4316.0,2628.0,1056.9393,0.0012744665,0.047043882,0.7032359905288083,-0.38753959873284055,2.292551138556542,-0.24308755760368664,51.0,36.5,41.0,63.5,64.0,17.0,24.0,78.0,16.0,1.5444651,7,mangroves,POINT (171.36449271065706 7.119348732244093)
15,41.0,33.0,26.0,2152.0,1912.0,2036.0,3456.0,3409.0,753.58923,0.0011497736,0.032863382,0.23252496433666192,-0.252157943067034,1.6067028092656481,-0.006846321922796795,38.0,35.0,28.0,51.0,35.5,21.0,39.0,38.0,37.0,2.9363122,4,buildup,POINT (171.36470161150308 7.120116621822147)
16,50.0,21.0,40.0,3286.0,2780.0,3057.0,3487.0,4269.0,1328.5062,0.0020114183,0.05054324,0.029676657315812788,-0.16543816543816545,0.21346644010195412,0.10082516761217122,46.5,24.0,29.0,28.0,14.0,53.5,30.0,17.0,59.0,2.80295,4,buildup,POINT (171.364574181987 7.120346153780134)
17,46.0,24.0,38.0,2548.0,2261.0,2456.0,3483.0,3475.0,473.0891,0.00058469176,0.02029333,0.15503233294644336,-0.1718091384252234,1.288233673188206,-0.0011497556769186547,40.0,37.0,24.5,49.0,36.5,22.5,37.0,44.0,23.5,3.3911862,4,buildup,POINT (171.36440915031864 7.120158354914074)
18,46.0,24.0,38.0,2548.0,2261.0,2456.0,3483.0,3475.0,473.0891,0.00058469176,0.02029333,0.15503233294644336,-0.1718091384252234,1.288233673188206,-0.0011497556769186547,40.0,37.0,24.5,49.0,36.5,22.5,37.0,44.0,23.5,3.3911862,4,buildup,POINT (171.36457836000392 7.119943429449543)
19,34.0,34.0,31.0,1804.0,1470.0,1808.0,3605.0,3149.0,508.25113,0.0006633997,0.021236312,0.33296357921981884,-0.2705265281420214,1.3223201174743024,-0.0675155463429079,34.0,30.0,40.0,35.5,27.0,55.0,22.0,29.0,52.0,2.316697,4,buildup,POINT (171.36535964916806 7.120212607927827)
20,27.0,39.0,59.0,2517.0,2233.0,2594.0,5463.0,4345.0,1896.7751,0.0034870207,0.058673907,0.36917293233082704,-0.25234183599942356,1.9287678407751736,-0.11398858075040783,19.0,20.0,79.0,39.5,17.5,81.0,18.0,19.0,80.0,5.677763,4,buildup,POINT (171.36557481703943 7.119724330569996)
21,37.0,15.0,47.0,1600.0,1405.0,1738.0,3361.0,3551.0,959.6557,0.0015132725,0.04665079,0.3549687562991332,-0.34278691624125546,1.8158383171787997,0.027488425925925927,48.0,32.0,19.0,45.0,27.5,25.0,40.0,37.0,26.0,2.8587499,4,buildup,POINT (171.3641480242611 7.120235561123995)
22,12.0,15.0,81.0,3017.0,2460.0,2886.0,3937.0,4020.0,950.5372,0.0012248755,0.03414811,0.13229795800977853,-0.16420503909643788,0.6406685236768802,0.010431066985044615,36.5,36.0,30.0,41.0,35.5,24.0,35.0,46.0,26.0,3.7077618,4,buildup,POINT (171.3652635547789 7.120586118884503)
23,39.0,52.0,11.0,546.0,483.0,737.0,3532.0,2043.0,457.13937,0.000608176,0.028233841,0.7322216772927905,-0.4697841726618705,2.3426957476855486,-0.26708520179372197,33.0,36.0,39.0,34.0,52.0,19.0,17.0,57.0,30.0,0.0,1,forest,POINT (171.36340015923233 7.120296074090136)
